Student_ID,Gender,Study_Hours_per_Week,Attendance_Percentage,Sleep_Hours_Per_Night,Internet_Access_at_Home,Previous_Exam_Score,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S1168,Female,8,52,6.5,No,49,No,38,Fail
S1169,Male,40,54,6.1,Yes,35,No,43,Fail
S1170,Male,37,76,6.1,No,62,No,64,Pass
S1171,Male,16,60,8.7,Yes,78,No,51,Pass
S1172,Male,20,80,6.6,Yes,60,Yes,45,Fail
S1173,Female,24,91,5.7,No,31,No,45,Fail
S1174,Male,23,51,9.4,Yes,88,Yes,55,Pass
S1175,Female,40,72,8.6,No,55,No,51,Pass
S1176,Male,33,57,5.1,Yes,62,Yes,52,Pass
S1177,Male,20,92,8.7,Yes,61,No,59,Pass
S1178,Male,27,84,8.9,No,56,No,51,Pass
S1179,Male,29,99,6.9,Yes,33,Yes,61,Pass
S1180,Female,11,100,8.1,Yes,88,Yes,48,Fail
S1181,Male,15,50,8.9,No,44,No,43,Fail
S1182,Female,17,50,9.1,Yes,52,Yes,48,Fail
S1183,Female,27,87,6.7,Yes,31,Yes,41,Fail
S1184,Male,34,52,5.0,Yes,64,No,56,Pass
S1185,Female,6,82,6.8,Yes,59,No,39,Fail
S1186,Male,20,89,7.6,Yes,33,No,35,Fail
S1187,Male,28,65,6.1,No,56,Yes,45,Fail
S1188,Male,6,78,4.7,Yes,46,No,30,Fail
S1189,Male,9,87,9.0,No,40,Yes,40,Fail
S1190,Male,18,50,7.6,Yes,82,No,57,Pass
S1191,Female,25,72,8.4,No,87,No,65,Pass
S1192,Female,24,55,6.5,No,59,No,41,Fail
S1193,Male,23,51,5.9,Yes,63,No,46,Fail
S1194,Female,36,67,8.6,Yes,71,No,65,Pass
S1195,Female,9,69,6.8,Yes,86,No,54,Pass
S1196,Male,17,100,6.7,No,87,No,56,Pass
S1197,Female,34,89,5.7,Yes,75,Yes,73,Pass
S1198,Female,17,98,5.8,No,58,No,47,Fail
S1199,Male,32,54,9.4,Yes,56,No,54,Pass
S1200,Female,33,73,4.7,No,82,Yes,59,Pass
S1201,Female,40,83,5.0,Yes,45,Yes,57,Pass
S1202,Male,27,58,6.3,Yes,88,Yes,71,Pass
S1203,Female,38,65,6.1,No,48,No,46,Fail
S1204,Female,23,72,6.1,No,76,Yes,60,Pass
S1205,Male,32,55,6.9,No,33,No,51,Pass
S1206,Female,16,51,7.6,No,91,No,45,Fail
S1207,Female,31,86,4.9,Yes,67,Yes,57,Pass
S1208,Male,17,58,7.6,No,92,Yes,58,Pass
S1209,Female,13,54,5.7,No,100,No,58,Pass
S1210,Male,16,85,4.8,No,52,Yes,35,Fail
S1211,Female,27,58,4.7,Yes,75,Yes,48,Fail
S1212,Female,17,65,6.6,No,54,Yes,41,Fail
S1213,Female,30,65,9.4,Yes,95,No,77,Pass
S1214,Male,9,83,9.4,No,57,No,44,Fail
S1215,Male,10,72,8.8,Yes,100,No,54,Pass
S1216,Male,40,65,8.5,Yes,74,Yes,64,Pass
S1217,Male,31,62,8.2,Yes,84,Yes,62,Pass
S1218,Male,30,95,6.5,Yes,46,No,57,Pass
S1219,Female,34,82,6.2,No,80,Yes,73,Pass
S1220,Male,28,86,6.5,Yes,37,Yes,45,Fail
S1221,Male,19,88,5.0,No,76,Yes,56,Pass
S1222,Male,20,55,5.1,Yes,98,Yes,56,Pass
S1223,Male,30,77,6.7,No,65,No,69,Pass
S1224,Female,39,73,6.1,Yes,92,Yes,79,Pass
S1225,Male,30,99,5.6,No,100,No,76,Pass
S1226,Male,5,50,7.6,Yes,39,Yes,18,Fail
S1227,Female,20,92,7.6,No,78,No,66,Pass
S1228,Female,25,72,5.4,No,80,No,65,Pass
S1229,Female,33,66,6.1,Yes,68,No,67,Pass
S1230,Female,21,76,6.7,Yes,63,No,51,Pass
S1231,Male,33,65,7.3,Yes,55,No,62,Pass
S1232,Female,29,91,4.8,Yes,52,No,49,Fail
S1233,Female,16,54,6.7,Yes,99,No,51,Pass
S1234,Female,9,85,8.5,No,42,Yes,37,Fail
S1235,Male,7,87,4.8,Yes,91,Yes,57,Pass
S1236,Female,36,77,5.6,Yes,56,Yes,58,Pass
S1237,Female,39,70,5.8,No,47,Yes,53,Pass
S1238,Male,5,93,9.4,Yes,65,Yes,54,Pass
S1239,Female,19,52,6.2,Yes,39,Yes,44,Fail
S1240,Male,12,72,8.0,No,36,No,36,Fail
S1241,Female,36,60,6.1,No,99,Yes,68,Pass
S1242,Female,7,57,8.5,Yes,67,Yes,48,Fail
S1243,Female,39,57,6.2,Yes,57,No,65,Pass
S1244,Female,9,97,7.0,No,46,No,39,Fail
S1245,Male,33,70,7.6,No,92,Yes,69,Pass
S1246,Male,38,62,9.4,No,31,No,39,Fail
S1247,Male,25,57,4.8,Yes,92,Yes,66,Pass
S1248,Male,16,80,5.2,No,31,Yes,34,Fail
S1249,Male,34,86,6.0,No,79,No,59,Pass
S1250,Female,7,88,6.0,Yes,56,Yes,49,Fail
S1251,Female,27,59,6.9,Yes,73,No,49,Fail
S1252,Female,8,84,5.3,No,67,Yes,45,Fail
S1253,Male,16,61,6.8,Yes,67,No,50,Pass
S1254,Female,32,57,5.4,Yes,39,Yes,49,Fail
S1255,Female,34,60,8.4,Yes,42,No,53,Pass
S1256,Male,14,84,5.3,No,42,Yes,37,Fail
S1257,Female,11,56,6.7,No,46,Yes,25,Fail
S1258,Male,17,78,5.7,Yes,88,No,66,Pass
S1259,Female,30,75,5.4,No,96,No,64,Pass
S1260,Male,11,70,7.3,No,74,No,39,Fail
S1261,Female,14,85,8.9,No,47,Yes,43,Fail
S1262,Female,25,89,5.1,Yes,48,Yes,51,Pass
S1263,Male,9,85,6.7,No,55,No,45,Fail
S1264,Female,29,78,6.7,Yes,95,No,77,Pass
S1265,Female,11,65,9.0,Yes,49,No,43,Fail
S1266,Male,21,95,9.4,Yes,39,No,39,Fail
S1267,Male,32,68,7.8,No,99,No,65,Pass
S1268,Female,26,70,7.8,No,31,Yes,52,Pass
S1269,Male,18,97,4.5,No,39,Yes,50,Pass
S1270,Female,39,59,7.7,Yes,77,Yes,60,Pass
S1271,Female,31,83,6.2,No,87,No,65,Pass
S1272,Female,20,92,7.5,No,32,No,36,Fail
S1273,Female,27,92,8.3,Yes,31,Yes,54,Pass
S1274,Female,11,90,6.6,No,67,No,54,Pass
S1275,Female,13,79,7.8,Yes,47,No,51,Pass
S1276,Male,14,54,9.2,Yes,88,Yes,50,Pass
S1277,Male,36,58,6.0,No,74,No,70,Pass
S1278,Female,19,96,8.7,No,80,No,50,Pass
S1279,Female,11,63,6.4,Yes,48,Yes,46,Fail
S1280,Female,25,95,5.1,Yes,41,No,60,Pass
S1281,Male,20,98,9.5,Yes,51,No,48,Fail
S1282,Female,10,69,8.5,No,35,Yes,29,Fail
S1283,Male,12,81,7.1,Yes,79,No,44,Fail
S1284,Male,32,93,7.7,No,87,Yes,65,Pass
S1285,Male,18,60,8.0,Yes,97,No,53,Pass
S1286,Female,28,81,8.5,No,40,Yes,58,Pass
S1287,Female,25,55,5.6,No,41,No,51,Pass
S1288,Female,35,89,6.0,No,87,Yes,77,Pass
S1289,Male,17,99,6.3,Yes,63,Yes,46,Fail
S1290,Male,29,98,5.3,Yes,41,Yes,48,Fail
S1291,Female,20,59,8.2,No,40,Yes,42,Fail
S1292,Female,5,92,5.8,No,78,No,58,Pass
S1293,Female,17,80,8.8,Yes,68,No,49,Fail
S1294,Female,27,54,8.7,Yes,92,Yes,53,Pass
S1295,Female,26,95,4.6,No,59,Yes,52,Pass
S1296,Male,17,95,7.8,No,33,No,39,Fail
S1297,Male,37,93,8.4,No,75,Yes,66,Pass
S1298,Female,13,58,8.7,Yes,94,No,57,Pass
S1299,Female,27,94,7.6,No,31,No,53,Pass
S1300,Female,34,53,4.9,No,72,No,64,Pass
S1301,Male,12,73,9.3,No,70,No,49,Fail
S1302,Male,15,90,8.3,Yes,97,No,66,Pass
S1303,Male,39,78,8.9,No,66,Yes,67,Pass
S1304,Male,18,65,5.2,No,51,No,35,Fail
S1305,Male,18,78,7.3,Yes,100,No,55,Pass
S1306,Female,34,68,5.3,No,36,Yes,60,Pass
S1307,Male,7,90,5.0,Yes,35,Yes,43,Fail
S1308,Female,16,62,8.0,Yes,39,No,34,Fail
S1309,Female,20,94,6.9,No,66,No,55,Pass
S1310,Male,18,90,4.6,Yes,99,Yes,52,Pass
S1311,Female,10,67,7.9,Yes,57,No,50,Pass
S1312,Male,40,69,5.1,Yes,98,Yes,70,Pass
S1313,Female,12,50,5.0,Yes,88,No,57,Pass
S1314,Male,18,79,6.8,No,93,Yes,52,Pass
S1315,Female,10,84,5.8,No,67,No,55,Pass
S1316,Male,18,79,5.2,Yes,48,No,35,Fail
S1317,Male,23,85,4.5,Yes,36,Yes,41,Fail
S1318,Male,11,59,9.2,Yes,55,Yes,45,Fail
S1319,Female,39,77,5.3,Yes,90,No,76,Pass
S1320,Male,16,88,8.7,No,65,No,48,Fail
S1321,Female,6,100,9.0,No,30,No,27,Fail
S1322,Female,34,76,5.4,No,40,No,44,Fail
S1323,Male,20,100,6.8,Yes,61,Yes,49,Fail
S1324,Female,19,90,8.1,No,94,Yes,67,Pass
S1325,Male,24,93,5.4,No,85,No,75,Pass
S1326,Male,13,50,7.0,No,33,No,33,Fail
S1327,Male,20,74,8.4,Yes,41,Yes,43,Fail
S1328,Male,40,77,6.3,No,67,No,64,Pass
S1329,Female,5,84,8.4,Yes,89,No,41,Fail
S1330,Male,26,52,7.9,Yes,72,Yes,62,Pass
S1331,Female,22,65,6.9,Yes,86,No,53,Pass
S1332,Female,25,97,9.3,No,92,Yes,67,Pass
S1333,Female,16,88,5.5,Yes,69,No,42,Fail
S1334,Female,11,73,5.8,Yes,44,Yes,42,Fail
S1335,Female,14,82,6.4,No,42,Yes,48,Fail
S1336,Male,29,97,7.3,Yes,68,No,71,Pass
S1337,Male,8,73,7.3,No,87,No,41,Fail
S1338,Male,7,81,4.9,No,34,No,37,Fail
S1339,Male,31,95,6.0,Yes,79,No,62,Pass
S1340,Male,17,85,9.0,Yes,83,No,51,Pass
S1341,Male,27,51,8.0,No,90,No,54,Pass
S1342,Male,8,63,8.6,No,33,No,25,Fail
S1343,Male,17,95,6.8,Yes,35,No,48,Fail
S1344,Male,7,81,7.5,No,73,Yes,42,Fail
S1345,Male,15,91,5.2,No,52,No,50,Pass
S1346,Female,33,81,9.1,No,37,No,44,Fail
S1347,Female,32,53,5.2,No,95,Yes,70,Pass
S1348,Male,15,99,7.9,No,45,Yes,54,Pass
S1349,Male,18,69,9.2,Yes,96,No,53,Pass
S1350,Female,23,93,8.7,No,74,No,51,Pass
S1351,Female,24,95,5.8,No,65,No,61,Pass
S1352,Male,36,55,4.8,Yes,91,Yes,71,Pass
S1353,Female,21,81,4.8,No,49,Yes,38,Fail
S1354,Male,37,81,8.3,Yes,77,No,62,Pass
S1355,Male,11,58,8.8,Yes,45,Yes,40,Fail
S1356,Female,12,100,7.7,No,77,No,65,Pass
S1357,Male,28,90,8.3,No,51,No,59,Pass
S1358,Male,11,98,7.3,Yes,83,No,57,Pass
S1359,Female,18,64,9.0,No,92,Yes,55,Pass
S1360,Male,29,77,7.4,Yes,99,Yes,70,Pass
S1361,Female,17,53,7.8,Yes,67,Yes,43,Fail
S1362,Male,33,56,4.5,No,63,No,47,Fail
S1363,Male,28,98,8.0,No,98,No,64,Pass
S1364,Female,16,59,6.4,No,63,No,38,Fail
S1365,Male,9,76,6.9,Yes,44,Yes,27,Fail
S1366,Female,18,83,9.2,Yes,44,No,43,Fail
S1367,Male,35,62,6.8,No,93,Yes,63,Pass
S1368,Male,26,68,6.2,Yes,50,No,43,Fail
S1369,Male,9,68,9.3,Yes,76,Yes,51,Pass
S1370,Female,11,85,5.1,Yes,34,No,43,Fail
S1371,Female,24,53,6.9,Yes,56,No,38,Fail
S1372,Male,34,90,5.8,Yes,93,No,77,Pass
S1373,Female,35,56,6.9,No,89,No,71,Pass
S1374,Male,19,82,7.0,Yes,36,Yes,46,Fail
S1375,Female,6,83,7.2,No,34,No,37,Fail
S1376,Male,21,52,7.9,Yes,87,No,61,Pass
S1377,Male,28,65,5.5,Yes,58,No,54,Pass
S1378,Male,24,87,9.1,Yes,38,No,44,Fail
S1379,Male,35,80,7.2,Yes,53,No,56,Pass
S1380,Male,5,55,8.7,Yes,64,No,41,Fail
S1381,Female,16,77,6.9,Yes,99,Yes,69,Pass
S1382,Female,9,71,7.3,No,54,No,30,Fail
S1383,Female,38,99,7.9,Yes,100,Yes,85,Pass
S1384,Male,40,89,7.6,No,62,Yes,77,Pass
S1385,Male,26,68,4.8,Yes,42,No,39,Fail
S1386,Female,38,86,8.5,No,39,No,59,Pass
S1387,Female,17,65,7.5,Yes,39,No,45,Fail
S1388,Female,28,79,5.0,Yes,82,Yes,65,Pass
S1389,Male,36,56,6.6,No,73,Yes,57,Pass
S1390,Female,31,82,8.2,Yes,95,Yes,66,Pass
S1391,Female,39,52,7.4,Yes,90,Yes,72,Pass
S1392,Female,20,84,6.0,Yes,44,No,51,Pass
S1393,Female,9,75,8.2,Yes,55,Yes,49,Fail
S1394,Female,33,56,6.0,Yes,55,Yes,43,Fail
S1395,Male,35,91,6.4,No,57,No,57,Pass
S1396,Male,25,63,9.2,Yes,71,Yes,49,Fail
S1397,Male,20,59,9.2,Yes,83,Yes,57,Pass
S1398,Male,40,81,5.4,Yes,79,No,71,Pass
S1399,Male,7,78,7.8,Yes,50,Yes,45,Fail
S1400,Female,28,58,8.1,Yes,39,Yes,54,Pass
S1401,Male,12,56,8.0,No,37,Yes,24,Fail
S1402,Male,26,67,6.3,No,74,No,62,Pass
S1403,Male,25,58,6.1,No,84,No,56,Pass
S1404,Female,19,86,6.2,Yes,31,Yes,46,Fail
S1405,Female,30,95,7.4,No,80,Yes,63,Pass
S1406,Female,23,57,5.6,Yes,89,Yes,65,Pass
S1407,Male,11,97,6.8,Yes,91,No,64,Pass
S1408,Female,19,89,7.7,No,52,Yes,48,Fail
S1409,Male,30,94,6.6,No,31,Yes,53,Pass
S1410,Male,28,89,5.9,No,34,No,50,Pass
S1411,Female,37,69,7.4,Yes,35,No,47,Fail
S1412,Female,19,90,9.0,Yes,66,No,56,Pass
S1413,Male,7,78,4.9,Yes,54,Yes,36,Fail
S1414,Male,6,55,6.4,Yes,81,Yes,40,Fail
S1415,Female,38,75,6.7,Yes,91,No,82,Pass
S1416,Female,34,84,9.4,No,65,No,72,Pass
S1417,Female,6,98,7.9,No,90,No,56,Pass
S1418,Female,32,75,6.3,No,70,No,64,Pass
S1419,Female,39,77,5.2,No,31,Yes,63,Pass
S1420,Female,9,77,8.1,Yes,34,Yes,31,Fail
S1421,Female,21,98,7.1,Yes,44,No,58,Pass
S1422,Female,32,64,8.1,Yes,51,No,60,Pass
S1423,Male,28,72,6.4,Yes,33,Yes,48,Fail
S1424,Female,34,71,7.0,Yes,43,No,54,Pass
S1425,Female,6,60,9.3,No,72,No,37,Fail
S1426,Female,7,75,7.6,No,63,No,38,Fail
S1427,Male,39,91,9.3,Yes,62,Yes,62,Pass
S1428,Female,11,56,7.5,Yes,32,No,34,Fail
S1429,Male,23,97,8.3,Yes,80,No,66,Pass
S1430,Female,18,63,4.9,No,72,No,45,Fail
S1431,Male,19,71,7.9,No,90,No,53,Pass
S1432,Male,8,90,5.0,No,53,No,47,Fail
S1433,Male,9,68,6.1,No,81,No,39,Fail
S1434,Male,36,57,5.8,Yes,30,No,53,Pass
S1435,Female,23,57,8.2,Yes,55,No,50,Pass
S1436,Male,14,51,4.6,No,70,Yes,47,Fail
S1437,Female,5,67,6.6,No,41,Yes,36,Fail
S1438,Female,35,67,9.2,No,61,Yes,69,Pass
S1439,Female,18,57,8.7,Yes,41,No,47,Fail
S1440,Female,39,86,5.4,No,80,Yes,69,Pass
S1441,Female,16,71,5.3,Yes,98,Yes,58,Pass
S1442,Male,6,68,8.1,No,34,Yes,25,Fail
S1443,Female,21,85,5.6,No,69,Yes,47,Fail
S1444,Female,27,61,7.7,Yes,35,Yes,46,Fail
S1445,Male,36,68,5.5,Yes,48,No,57,Pass
S1446,Female,6,79,6.3,Yes,79,No,42,Fail
S1447,Male,38,65,8.8,Yes,31,Yes,43,Fail
S1448,Female,23,77,4.8,No,38,No,44,Fail
S1449,Male,13,64,8.8,Yes,89,No,51,Pass
S1450,Female,19,89,9.3,Yes,56,Yes,44,Fail
S1451,Female,29,73,4.5,Yes,71,Yes,54,Pass
S1452,Male,33,91,8.9,No,95,Yes,77,Pass
S1453,Female,38,68,7.0,Yes,79,No,71,Pass
S1454,Male,25,68,8.4,Yes,89,Yes,59,Pass
S1455,Female,37,91,5.3,No,91,No,70,Pass
S1456,Male,5,84,9.0,Yes,48,No,32,Fail
S1457,Female,30,84,7.0,Yes,85,No,70,Pass
S1458,Female,10,66,7.2,No,77,No,39,Fail
S1459,Female,15,81,9.1,No,94,Yes,66,Pass
S1460,Female,16,91,5.2,Yes,61,No,44,Fail
S1461,Male,32,59,7.9,Yes,37,No,40,Fail
S1462,Male,29,68,7.0,No,64,No,65,Pass
S1463,Male,20,67,5.4,No,60,No,51,Pass
S1464,Female,20,79,9.2,No,55,Yes,43,Fail
S1465,Female,14,52,5.5,Yes,38,Yes,34,Fail
S1466,Male,19,78,8.9,Yes,54,Yes,53,Pass
S1467,Female,19,73,6.5,No,73,Yes,50,Pass
S1468,Female,24,65,8.5,No,86,No,61,Pass
S1469,Male,12,77,5.8,Yes,93,Yes,63,Pass
S1470,Male,33,56,7.6,Yes,98,No,58,Pass
S1471,Male,34,80,6.0,No,51,No,65,Pass
S1472,Female,23,71,7.1,Yes,87,Yes,69,Pass
S1473,Male,36,70,8.0,Yes,58,Yes,56,Pass
S1474,Male,6,66,8.7,No,53,No,31,Fail
S1475,Female,13,87,6.8,Yes,38,No,43,Fail
S1476,Male,38,78,4.6,No,92,No,78,Pass
S1477,Male,11,84,5.2,Yes,84,No,60,Pass
S1478,Male,21,92,8.8,Yes,100,No,71,Pass
S1479,Female,26,71,8.1,Yes,48,No,55,Pass
S1480,Female,15,89,7.2,No,54,No,47,Fail
S1481,Female,6,84,7.8,No,97,Yes,46,Fail
S1482,Female,36,89,5.8,No,86,No,80,Pass
S1483,Male,29,99,7.6,Yes,84,Yes,60,Pass
S1484,Male,15,86,7.8,No,58,No,46,Fail
S1485,Male,40,70,9.2,No,74,Yes,70,Pass
S1486,Female,39,62,4.8,Yes,61,No,59,Pass
S1487,Male,38,74,9.4,No,34,No,43,Fail
S1488,Male,17,70,5.9,Yes,85,No,63,Pass
S1489,Female,7,69,7.8,No,43,Yes,41,Fail
S1490,Male,26,68,7.2,No,82,No,52,Pass
S1491,Male,18,90,8.7,Yes,88,No,61,Pass
S1492,Female,17,56,6.3,Yes,79,Yes,42,Fail
S1493,Female,11,84,8.5,Yes,35,No,35,Fail
S1494,Female,39,64,5.8,No,49,Yes,61,Pass
S1495,Male,26,72,7.8,Yes,31,Yes,52,Pass
S1496,Male,13,80,5.0,Yes,47,Yes,48,Fail
S1497,Female,9,98,4.5,Yes,70,No,42,Fail
S1498,Female,17,59,6.1,No,98,Yes,54,Pass
S1499,Female,31,95,5.3,Yes,68,Yes,70,Pass
S1500,Female,36,72,5.6,No,73,Yes,60,Pass
S1501,Male,8,79,8.3,Yes,95,Yes,57,Pass
S1502,Female,6,75,6.9,No,36,Yes,23,Fail
S1503,Male,28,74,8.9,No,30,Yes,53,Pass
S1504,Male,38,67,6.5,No,87,Yes,63,Pass
S1505,Male,28,77,9.4,Yes,86,No,71,Pass
S1506,Male,33,51,9.1,No,90,Yes,74,Pass
S1507,Male,38,59,6.5,Yes,95,Yes,65,Pass
S1508,Female,9,97,4.6,No,67,No,51,Pass
S1509,Female,14,91,4.5,Yes,94,Yes,63,Pass
S1510,Female,13,99,8.3,Yes,85,Yes,48,Fail
S1511,Male,23,77,6.8,Yes,59,No,58,Pass
S1512,Female,36,95,5.6,No,79,Yes,72,Pass
S1513,Male,36,50,6.8,No,53,Yes,63,Pass
S1514,Female,22,75,7.5,No,37,No,48,Fail
S1515,Female,19,75,5.9,Yes,88,Yes,49,Fail
S1516,Female,8,56,4.8,No,89,No,48,Fail
S1517,Male,15,55,6.9,Yes,77,No,42,Fail
S1518,Female,10,96,4.7,No,60,Yes,52,Pass
S1519,Female,25,91,6.9,Yes,89,No,65,Pass
S1520,Male,14,86,5.2,No,91,Yes,56,Pass
S1521,Female,28,63,6.4,No,89,No,64,Pass
S1522,Female,14,60,8.1,No,49,Yes,34,Fail
S1523,Female,17,87,4.7,No,74,No,45,Fail
S1524,Male,18,60,9.0,No,52,No,35,Fail
S1525,Male,17,79,8.3,Yes,49,Yes,36,Fail
S1526,Male,24,67,6.0,No,86,Yes,51,Pass
S1527,Male,19,89,6.5,Yes,92,Yes,58,Pass
S1528,Male,30,51,7.7,Yes,45,No,37,Fail
S1529,Female,14,51,5.5,Yes,77,Yes,37,Fail
S1530,Female,20,90,4.5,No,100,Yes,52,Pass
S1531,Male,27,64,7.9,Yes,38,No,38,Fail
S1532,Male,26,67,6.9,No,79,No,60,Pass
S1533,Female,27,54,5.4,Yes,61,Yes,45,Fail
S1534,Female,29,95,5.0,No,70,Yes,69,Pass
S1535,Female,5,96,5.1,Yes,76,No,50,Pass
S1536,Female,33,97,9.1,Yes,37,No,59,Pass
S1537,Female,17,60,8.1,No,75,Yes,47,Fail
S1538,Female,22,65,6.7,Yes,58,No,50,Pass
S1539,Female,34,59,6.9,No,82,Yes,57,Pass
S1540,Male,28,88,6.2,Yes,31,No,55,Pass
S1541,Female,22,92,8.4,Yes,67,Yes,59,Pass
S1542,Female,18,61,7.7,No,92,No,52,Pass
S1543,Male,37,72,6.4,No,86,No,61,Pass
S1544,Male,27,69,6.7,Yes,77,No,61,Pass
S1545,Male,9,52,7.1,Yes,97,No,51,Pass
S1546,Male,15,89,7.5,No,64,No,50,Pass
S1547,Female,20,50,5.8,No,97,Yes,62,Pass
S1548,Female,30,53,4.6,Yes,33,Yes,41,Fail
S1549,Female,6,62,9.4,Yes,36,Yes,34,Fail
S1550,Female,7,69,7.2,Yes,88,No,39,Fail
S1551,Female,36,55,8.3,No,83,No,75,Pass
S1552,Female,16,53,8.4,Yes,51,Yes,37,Fail
S1553,Male,11,70,5.3,No,82,Yes,46,Fail
S1554,Male,10,83,9.0,Yes,59,No,48,Fail
S1555,Male,15,57,5.3,Yes,67,No,49,Fail
S1556,Male,34,97,7.8,No,70,No,67,Pass
S1557,Female,25,88,6.5,Yes,59,No,50,Pass
S1558,Female,29,76,6.2,Yes,88,Yes,65,Pass
S1559,Male,24,80,5.3,No,51,No,48,Fail
S1560,Female,40,54,9.4,Yes,45,Yes,47,Fail
S1561,Male,14,82,6.7,No,71,No,45,Fail
S1562,Female,15,78,6.2,Yes,36,Yes,35,Fail
S1563,Female,25,75,7.3,No,88,No,64,Pass
S1564,Female,37,80,6.0,No,85,Yes,66,Pass
S1565,Male,7,84,6.7,No,71,No,44,Fail
S1566,Female,23,75,6.0,Yes,99,Yes,68,Pass
S1567,Male,35,92,7.0,No,36,No,61,Pass
S1568,Male,17,90,8.3,No,40,No,44,Fail
S1569,Female,8,78,7.1,Yes,95,Yes,55,Pass
S1570,Male,30,54,6.0,Yes,48,No,53,Pass
S1571,Female,23,73,6.7,Yes,77,No,63,Pass
S1572,Female,33,66,7.4,Yes,47,Yes,61,Pass
S1573,Female,25,67,8.5,Yes,97,No,66,Pass
S1574,Male,17,96,4.8,Yes,45,No,44,Fail
S1575,Female,28,85,4.8,Yes,32,No,41,Fail
S1576,Female,5,73,6.2,Yes,89,Yes,43,Fail
S1577,Female,24,60,9.4,Yes,31,Yes,33,Fail
S1578,Male,23,94,8.4,No,61,Yes,49,Fail
S1579,Female,35,73,6.9,No,43,No,51,Pass
S1580,Female,37,99,5.2,Yes,36,No,62,Pass
S1581,Male,24,65,4.6,No,81,No,55,Pass
S1582,Male,26,73,6.8,Yes,42,No,41,Fail
S1583,Female,24,56,8.2,No,97,No,61,Pass
S1584,Female,10,63,6.0,Yes,57,No,46,Fail
S1585,Female,19,76,6.2,Yes,76,Yes,47,Fail
S1586,Female,23,73,5.6,No,85,Yes,57,Pass
S1587,Female,16,89,9.1,No,69,No,61,Pass
S1588,Male,13,63,5.2,Yes,82,No,49,Fail
S1589,Male,10,60,7.4,Yes,92,Yes,61,Pass
S1590,Female,12,81,5.8,Yes,36,No,40,Fail
S1591,Male,11,63,4.8,No,84,Yes,38,Fail
S1592,Male,30,57,9.4,No,62,Yes,46,Fail
S1593,Female,40,55,7.0,Yes,92,No,66,Pass
S1594,Female,33,76,7.3,No,97,No,80,Pass
S1595,Female,37,52,9.2,No,79,No,57,Pass
S1596,Female,18,80,6.0,No,80,Yes,61,Pass
S1597,Female,12,71,9.1,No,62,Yes,46,Fail
S1598,Female,9,53,5.6,Yes,89,No,56,Pass
S1599,Male,24,56,5.2,Yes,72,Yes,48,Fail
S1600,Female,22,56,4.9,Yes,33,No,38,Fail
S1601,Male,7,70,9.0,Yes,77,Yes,46,Fail
S1602,Female,32,78,4.8,No,54,No,57,Pass
S1603,Female,37,98,8.5,Yes,76,Yes,68,Pass
S1604,Female,27,77,9.4,Yes,30,Yes,39,Fail
S1605,Male,34,100,7.7,Yes,98,Yes,71,Pass
S1606,Male,15,58,7.6,No,76,No,56,Pass
S1607,Male,25,91,7.1,No,78,Yes,54,Pass
S1608,Male,17,63,9.2,Yes,53,Yes,39,Fail
S1609,Female,15,86,7.0,No,69,No,61,Pass
S1610,Female,27,61,9.3,No,76,Yes,61,Pass
S1611,Female,24,79,6.5,Yes,100,No,65,Pass
S1612,Male,34,92,9.3,Yes,67,Yes,75,Pass
S1613,Female,8,70,6.7,No,33,No,27,Fail
S1614,Male,13,89,7.0,Yes,68,No,52,Pass
S1615,Female,10,77,7.2,No,43,No,39,Fail
S1616,Female,31,77,4.8,Yes,44,Yes,37,Fail
S1617,Male,15,60,8.2,No,34,No,32,Fail
S1618,Male,11,93,9.1,No,97,No,62,Pass
S1619,Female,23,73,7.0,Yes,78,Yes,48,Fail
S1620,Male,18,85,5.6,Yes,31,No,43,Fail
S1621,Female,12,95,8.2,No,54,Yes,45,Fail
S1622,Female,33,86,8.9,Yes,86,Yes,63,Pass
S1623,Male,10,79,5.6,No,31,Yes,32,Fail
S1624,Female,37,85,6.8,Yes,52,Yes,62,Pass
S1625,Female,25,79,6.2,No,79,No,67,Pass
S1626,Male,34,99,9.3,Yes,70,No,74,Pass
S1627,Male,30,77,7.5,No,73,Yes,51,Pass
S1628,Female,14,62,8.9,No,37,No,42,Fail
S1629,Male,21,63,7.9,No,76,No,56,Pass
S1630,Female,9,79,8.2,No,66,No,35,Fail
S1631,Female,9,51,5.6,No,99,Yes,52,Pass
S1632,Male,34,90,5.6,Yes,82,No,65,Pass
S1633,Male,13,55,5.4,No,84,No,53,Pass
S1634,Male,15,50,5.3,No,89,Yes,43,Fail
S1635,Male,40,61,6.8,Yes,80,No,75,Pass
S1636,Male,30,70,8.4,Yes,32,Yes,48,Fail
S1637,Female,38,83,9.5,No,36,No,62,Pass
S1638,Male,13,78,9.1,Yes,66,Yes,48,Fail
S1639,Male,18,91,6.6,Yes,34,No,50,Pass
S1640,Female,22,100,6.3,No,96,No,77,Pass
S1641,Male,30,90,8.8,No,78,No,71,Pass
S1642,Female,21,92,9.4,Yes,90,No,73,Pass
S1643,Female,23,91,5.1,Yes,89,No,74,Pass
S1644,Female,19,82,4.7,No,37,No,38,Fail
S1645,Female,37,72,8.7,No,41,No,63,Pass
S1646,Female,7,88,5.7,No,100,No,61,Pass
S1647,Female,30,91,5.9,Yes,97,Yes,65,Pass
